disasterNumber,declarationDate,incidentType,pwNumber,applicationTitle,applicantId,damageCategoryCode,projectSize,county,countyCode,state,stateCode,stateNumberCode,projectAmount,federalShareObligated,totalObligated,obligatedDate,mitigationAmount,dcc,damageCategory,lastRefresh,hash,id
1609,2005-10-24T00:00:00.000Z,Hurricane,4323,(PW# 4323) PUBLIC BUILDINGS AND FACILITIES,099-11180-00,E - Buildings and Equipment,Small,Palm Beach County,99,Florida,FL,12,4775.0,4775.0,4775.0,2007-06-19T00:00:00.000Z,0.0,E,Buildings and Equipment,2025-04-21T15:02:39.229Z,7462eff656b4b62eee9856896caf7003b07e5af3,ac28cd87-0131-4cad-885a-a78d97396e30
1609,2005-10-24T00:00:00.000Z,Hurricane,713,(PW# 713) EMERGENCY PROTECTIVE MEASURES,099-U8U8Y-00,B - Emergency Protective Measures,Small,Palm Beach County,99,Florida,FL,12,35276.75,35276.75,35276.75,2007-06-18T00:00:00.000Z,0.0,B,Emergency Protective Measures,2025-04-21T15:02:39.229Z,f53690d3d4947d8468e59a1b6311d3c137e85114,f6447bf0-fbfa-4e84-8eaa-bba8debe3168
4672,2022-09-23T00:00:00.000Z,Severe Storm(s),4,Harbor View Drive Road Repair,016-65800-00,C - Roads and Bridges,Small,Pribilof Islands REAA,0,Alaska,AK,2,450301.0,337725.75,337725.75,2023-07-25T00:00:00.000Z,0.0,C,Roads and Bridges,2025-03-06T15:05:57.232Z,f8b0707f2bde9ee124d3ab54f778437efa05aaad,83a14ce5-3e19-4b90-bdb5-4cc66aaaa4ae
4332,2017-08-25T00:00:00.000Z,Hurricane,3175,All Schools - Portable buildings to house students.,167-U8YNL-00,B - Emergency Protective Measures,Large,Galveston County,167,Texas,TX,48,9372718.99,8435447.1,8435447.1,2019-06-24T00:00:00.000Z,0.0,B,Emergency Protective Measures,2025-03-06T15:05:57.232Z,8811d3b63d508b2431123b28755eee277f3d45a0,359e908e-bba6-43b4-815f-0c99e003b8aa
4332,2017-08-25T00:00:00.000Z,Hurricane,936,Olsen Elementary School Main/Library/Speech Room/Gym/Cafeteria,355-UZQ01-00,E - Buildings and Equipment,Large,Nueces County,355,Texas,TX,48,1360889.2,1224800.28,1224800.28,2018-12-31T00:00:00.000Z,664803.43,E,Buildings and Equipment,2025-03-06T15:05:57.232Z,7e3bc3897b4519699a16a5c7e29dea0f492e458a,32b2a4ac-f09a-490f-862c-08e8012ed56f
1609,2005-10-24T00:00:00.000Z,Hurricane,8422,(PW# 8422) PUBLIC BUILDINGS AND FACILITIES,011-107C0-00,E - Buildings and Equipment,Small,Broward County,11,Florida,FL,12,6120.0,6120.0,6120.0,2007-06-17T00:00:00.000Z,0.0,E,Buildings and Equipment,2025-04-21T15:02:39.229Z,f4e0019a09f43eada80088437e2c5799e2046e04,4a12659c-a3c6-4642-9c15-67e84c7acb2f
1603,2005-08-29T00:00:00.000Z,Hurricane,8046,(PW# 8046) EOR0392 - THURGOOD MARSHALL MIDDLE SCHOOL,071-UFTI3-00,B - Emergency Protective Measures,Small,East Baton Rouge Parish,33,Louisiana,LA,22,28371.18,28371.18,28371.18,2006-05-26T00:00:00.000Z,0.0,B,Emergency Protective Measures,2025-04-21T15:02:39.229Z,fe79b017439091f77442aa0afe365ed0ac080cf0,6037913a-6446-408c-912e-acf538d7fdbf
4145,2013-09-14T00:00:00.000Z,Flood,1146,(PW# 1146) BOUCO18 - Roads and Bridges,013-99013-00,C - Roads and Bridges,Large,Boulder County,13,Colorado,CO,8,6894249.0,5170686.75,5170686.75,2022-09-13T00:00:00.000Z,431350.47,C,Roads and Bridges,2025-04-21T15:02:39.229Z,9d70a44f1527dade787c055f50fe1840390935e2,8ebe2253-faca-40fc-9328-47347a3f7bd3
4068,2012-07-03T00:00:00.000Z,Severe Storm(s),462,(PW# 462) NACRR08 - Pickett Street Culvert,089-99089-00,C - Roads and Bridges,Small,Nassau County,89,Florida,FL,12,64648.72,48486.54,48486.54,2012-10-24T00:00:00.000Z,11243.4,C,Roads and Bridges,2025-04-21T15:02:39.229Z,0a5eec0c91005599a1129579c9d21260e20fcbfd,983c7b1f-c9fc-43d4-aebb-d96baeb1b519
4020,2011-08-31T00:00:00.000Z,Hurricane,2976,(PW# 2976) 4889005 - Emergency Protective Measures,119-48890-00,B - Emergency Protective Measures,Small,Westchester County,119,New York,NY,36,39402.33,29551.75,29551.75,2012-03-22T00:00:00.000Z,0.0,B,Emergency Protective Measures,2025-04-21T15:02:39.229Z,1b9a372e4e02b501c4c1a985946c385632b90747,c0b96cd8-df96-4f92-b20e-ec7bc77f7b94
1603,2005-08-29T00:00:00.000Z,Hurricane,20796,(PW# 20796) HAMMOND RESEARCH STATION-RESEARCH TESTING AND LAB,000-UXL4N-00,E - Buildings and Equipment,Small,Statewide,33,Louisiana,LA,22,3136.14,3136.14,3136.14,2013-12-10T00:00:00.000Z,0.0,E,Buildings and Equipment,2025-04-21T15:02:39.229Z,0e9c8b17dee427b437404b313372061c3ba181c2,cd505744-fea6-4ecf-add3-3ad8b7200fe9
